TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
UTAMA;abad;a.bad;abad;Kata Benda;sudah saabad umur niniku;sudah seabad umur nenekku
UTAMA;abadan;a.ba.dan;terbiasa, pembawaan, kebiasaan;;jangan bajajumput bat urang, jadi abadan kena;jangan mengambil kepunyaan orang, jadi terbiasa nanti
UTAMA;abah;a.bah;ayah, bapak;;;
UTAMA;abat;a.bat;tahan, kunci, piting;;;
TURUNAN DARI: abat;diabat;di.a.bat;ditahan, dikunci (dalam permainan catur), sehingga lawan tidak dapat bergerak;;;
UTAMA;abdol;ab.dol;afdol, baik;;;
UTAMA;abis;;cak habis:;;makanannya sudah abis kumakan;makanannya sudah habis kumakan
UTAMA;abuh;ab.uh;punyakit bengkak, kembung dan seperti berair;;;
UTAMA;abun;ab.un;abun (tempat alat jahitan, perhiasan dan sebagainya terbuat dari kayu atau kuningan);;;
UTAMA;abut;a.but;ributt;v;jangan abut;jangan ribut
TURUNAN DARI: abut;baabut;;"a ribut; ramai:";;jangan tapi baabut, aku handak guring;jangan ribut, aku mau tidur
UTAMA;abuya;a.buya;pak haji;Nomina (Kata Benda);;
UTAMA;acan;;terasi;;;
TURUNAN DARI: acan;baacan;;;;menggunakan terasi: inya katuju banar maolah sambal baacan;ia suka sekali membuat sambal terasi
TURUNAN DARI: acan;maacani;;;;membubuhkan terasi: jangan kada ingat maacani sambal nang ikam pirik tu;jangan lupa membubuhkan terasi di sambal yang kamu ulek itu
UTAMA;acar;;acar;;;
TURUNAN DARI: acar;baacar;;menggunakan acar:;;sidin makan baacar mangga;beliau makan menggunakan acar mangga
TURUNAN DARI: acar;baacar;;ada acarnya;;makanan di piringku balum baacar;makanan di piringku belum ada acarnya 
UTAMA;acara;;acara;;acaranya di langga;acaranya di musala
UTAMA;aci;;selalu, melulu;;aci bat ikam aja nang dikajal;selalu kepunyaanmu saja yang dipaksakan
TURUNAN DARI: aci;baaci;;berhati-hati;;lakasi pang tatak, jangan baaci banar;lekaslah potong, jangan berhati-hati benar
TURUNAN DARI: aci;maaci;;menonjolkan;;maaci kahandaknya ja;menonjolkan kehendaknya saja
UTAMA;acil;;n bibi;;;
UTAMA;acung;;acung;;;
TURUNAN DARI: acung;baacungan;;dalam keadaan teracung;;mana wani, mun lading baacungan;mana berani, kalau belati dalam keadaan teracung
TURUNAN DARI: acung;maacungakan;;mengacungkan;;;
UTAMA;ada;;ada;;mamaku ada di rumah;ibuku ada di rumah 
TURUNAN DARI: ada;baada;;berada, kaya;;;
TURUNAN DARI: ada;maada-ada;;mengada-ada, memfitnah;;jangan maada-ada;jangan mengada-ada
TURUNAN DARI: ada;kadada;;tidak ada;;kadada duit;tidak ada uang
TURUNAN DARI: ada;kadada;;"tidak berada; miskin";;aku ni urang kadada;saya ini orang miskin
TURUNAN DARI: ada;adakah;;"pron adakah; apakah ada: ";;adakah ikam baisi pulpen?;adakah kamu punya pulpen?
UTAMA;adab;;adab, sopan santun;;;
TURUNAN DARI: adab;baadab;;beradab;;urang anum harus baadab wan nang tuha;anak muda harus beradab dengan yang tua
UTAMA;adam;;Adam (nabi pertama yang diutus Allah Swt. );;;
UTAMA;adangan;;kerbau;;;
UTAMA;adap;;iih, ADAB;;;
UTAMA;adas;;;;;
TURUNAN DARI: adas;adas manis;;(nama sejenis rempah-rempah);;;
UTAMA;adat;;adat;;;
TURUNAN DARI: adat;baadat;;beradat:;;inya kawin baadat Banjar;ia menikah memakai adat Banjar
UTAMA;adha;;(idul) adha;;;
UTAMA;adi;;(BK);;;
TURUNAN DARI: adi;maadi-adi;;malas, bertingkah;;lakasi mandi, jangan maadi-adi;cepat mandi, jangan bertingkah
UTAMA;adil;;adil;;wadainya kita bagi lima sakira adil,;kuenya kita bagi lima supaya adil
UTAMA;ading;;adik, adinda;Nomina (Kata Benda);;
TURUNAN DARI: ading;baading;;beradik (mempunyai adik);;;
TURUNAN DARI: ading;maadingakan;;menjadikan sebagai adik (dalam hal usia);;tuhanya bini, kawa maadingakan;tua sekali isteri, dapat menjadikan (nya) sebagai adik
TURUNAN DARI: ading;sapaadingan;;sepersaudaraan;;kalahai aku mun aku dikarubuti sapaadingan;tentu saja saya kalah kalau saya dikeroyoknya sepersaudaraan
UTAMA;adon;;(BK) adon;;adon dahulu bahan nang ada;adon dulu bahan yang ada
TURUNAN DARI: adon;adonan;;adonan (adukan tepung dengan air gula dan sebagainya untuk membuat kue);;;
TURUNAN DARI: adon;maadon;;membuat adonan;;inya lagi maadon galapung gasan diolah wadai;sedang mengadon tepung untuk dibuat kue
TURUNAN DARI: adon;maadoni;;mengadon sesuatu ;;;
UTAMA;adu;;adu;;;
TURUNAN DARI: adu;baadu;;bertanding;;rami kanakan baadu kalayangan;ramai anak-anak beradu layang layang
